interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2020-01-30,2020-01-31,287.8399963378906,287.8399963378906,287.8399963378906,0.0,65536,440,34,30.0,886.4879150390625
2020-02-01,2020-02-02,286.7699890136719,286.7699890136719,286.7699890136719,0.0,65536,440,34,30.0,886.4879150390625
2020-02-03,2020-02-04,289.2699890136719,289.2699890136719,289.2699890136719,0.0,65536,440,34,30.0,886.4879150390625
2020-02-04,2020-02-05,289.4100036621094,289.4100036621094,289.4100036621094,0.0,65536,440,34,30.0,886.4879150390625
2020-02-06,2020-02-07,286.70001220703125,286.70001220703125,286.70001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-08,2020-02-09,286.8299865722656,286.8299865722656,286.8299865722656,0.0,65536,440,34,30.0,886.4879150390625
2020-02-10,2020-02-11,283.6499938964844,283.6499938964844,283.6499938964844,0.0,65536,440,34,30.0,886.4879150390625
2020-02-11,2020-02-12,287.5899963378906,287.5899963378906,287.5899963378906,0.0,65536,440,34,30.0,886.4879150390625
2020-02-12,2020-02-13,288.67999267578125,288.67999267578125,288.67999267578125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-13,2020-02-14,289.07000732421875,289.07000732421875,289.07000732421875,0.0,65536,440,34,30.0,886.4879150390625
2020-02-15,2020-02-16,285.6499938964844,285.6499938964844,285.6499938964844,0.0,65536,440,34,30.0,886.4879150390625
2020-02-17,2020-02-18,286.5,286.5,286.5,0.0,65536,440,34,30.0,886.4879150390625
2020-02-19,2020-02-20,289.20001220703125,289.20001220703125,289.20001220703125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-20,2020-02-21,291.3800048828125,291.3800048828125,291.3800048828125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-22,2020-02-23,289.3800048828125,289.3800048828125,289.3800048828125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-24,2020-02-25,285.9700012207031,285.9700012207031,285.9700012207031,0.0,65536,440,34,30.0,886.4879150390625
2020-02-26,2020-02-27,288.67999267578125,288.67999267578125,288.67999267578125,0.0,65536,440,34,30.0,886.4879150390625
2020-02-27,2020-02-28,292.1099853515625,292.1099853515625,292.1099853515625,0.0,65536,440,34,30.0,886.4879150390625
2020-02-28,2020-02-29,287.260009765625,287.260009765625,287.260009765625,0.0,65536,440,34,30.0,886.4879150390625
2020-02-29,2020-03-01,290.0,290.0,290.0,0.0,65536,440,34,30.0,886.4879150390625
2020-03-02,2020-03-03,286.739990234375,286.739990234375,286.739990234375,0.0,65536,440,34,30.0,886.4879150390625
2020-03-04,2020-03-05,289.2099914550781,289.2099914550781,289.2099914550781,0.0,65536,440,34,30.0,886.4879150390625
2020-03-06,2020-03-07,287.19000244140625,287.19000244140625,287.19000244140625,0.0,65536,440,34,30.0,886.4879150390625
